frame_index,timestamp,tile_index
0,0.0,74
5,0.08333333333333333,74
10,0.16666666666666666,74
15,0.25,74
20,0.3333333333333333,74
25,0.41666666666666663,74
30,0.5,74
35,0.5833333333333333,74
40,0.6666666666666666,74
45,0.75,74
50,0.8333333333333333,74
55,0.9166666666666666,74
60,1.0,74
65,1.0833333333333333,74
70,1.1666666666666665,74
75,1.25,74
80,1.3333333333333333,74
85,1.4166666666666665,74
90,1.5,75
95,1.5833333333333333,75
100,1.6666666666666665,75
105,1.75,75
110,1.8333333333333333,75
115,1.9166666666666665,76
120,2.0,76
125,2.083333333333333,76
130,2.1666666666666665,76
135,2.25,77
140,2.333333333333333,77
145,2.4166666666666665,77
150,2.5,77
155,2.583333333333333,77
160,2.6666666666666665,77
165,2.75,77
170,2.833333333333333,77
175,2.9166666666666665,77
180,3.0,76
185,3.083333333333333,76
190,3.1666666666666665,75
195,3.25,74
200,3.333333333333333,74
205,3.4166666666666665,73
210,3.5,72
215,3.583333333333333,72
220,3.6666666666666665,72
225,3.75,71
230,3.833333333333333,71
235,3.9166666666666665,71
240,4.0,71
245,4.083333333333333,70
250,4.166666666666666,70
255,4.25,70
260,4.333333333333333,70
265,4.416666666666666,69
270,4.5,69
275,4.583333333333333,69
280,4.666666666666666,68
285,4.75,68
290,4.833333333333333,68
295,4.916666666666666,68
300,5.0,68
305,5.083333333333333,69
310,5.166666666666666,70
315,5.25,71
320,5.333333333333333,72
325,5.416666666666666,73
330,5.5,73
335,5.583333333333333,74
340,5.666666666666666,74
345,5.75,75
350,5.833333333333333,75
355,5.916666666666666,76
360,6.0,76
365,6.083333333333333,77
370,6.166666666666666,77
375,6.25,77
380,6.333333333333333,78
385,6.416666666666666,94
390,6.5,94
395,6.583333333333333,94
400,6.666666666666666,95
405,6.75,79
410,6.833333333333333,79
415,6.916666666666666,79
420,7.0,79
425,7.083333333333333,79
430,7.166666666666666,79
435,7.25,64
440,7.333333333333333,64
445,7.416666666666666,64
450,7.5,65
455,7.583333333333333,65
460,7.666666666666666,65
465,7.75,65
470,7.833333333333333,65
475,7.916666666666666,65
480,8.0,64
485,8.083333333333332,64
490,8.166666666666666,79
495,8.25,79
500,8.333333333333332,79
505,8.416666666666666,79
510,8.5,79
515,8.583333333333332,79
