video,stereo,t,u,v,id
5010,False,0.010970458984375,0.3642692,0.5214368,11
5010,False,0.021941650390625,0.3637628,0.5218112,11
5010,False,0.032912109375,0.3633662,0.5219763,11
5010,False,0.045877685546875,0.3631734,0.5219089,11
5010,False,0.055851318359375,0.3630168,0.5218913,11
5010,False,0.06582373046875,0.3629851,0.5219105,11
5010,False,0.077792724609375,0.3630762,0.5222332,11
5010,False,0.088762939453125,0.3631732,0.5225565,11
5010,False,0.114693115234375,0.3633772,0.5231237,11
5010,False,0.12466650390625,0.3639145,0.5245305,11
5010,False,0.133642578125,0.3642051,0.5253985,11
5010,False,0.14361572265625,0.3645803,0.5262215,11
5010,False,0.154586181640625,0.3650558,0.5268947,11
5010,False,0.166554931640625,0.3655072,0.527438,11
5010,False,0.177528076171875,0.3659811,0.5277904,11
5010,False,0.190490234375,0.3664382,0.5278535,11
5010,False,0.19946728515625,0.3672631,0.5274882,11
5010,False,0.210437744140625,0.3681656,0.5267875,11
5010,False,0.22140771484375,0.3689328,0.5263702,11
5010,False,0.23237890625,0.369424,0.5262895,11
5010,False,0.243349853515625,0.3697704,0.5262575,11
5010,False,0.2553173828125,0.3701167,0.5262724,11
5010,False,0.266287841796875,0.3707138,0.5259247,11
5010,False,0.277258544921875,0.3713783,0.5253484,11
5010,False,0.288229736328125,0.3719966,0.5246728,11
5010,False,0.299200439453125,0.372555,0.5241128,11
5010,False,0.3101708984375,0.3730238,0.5234611,11
5010,False,0.322138916015625,0.3733971,0.5230825,11
5010,False,0.333110107421875,0.3737912,0.5229634,11
5010,False,0.344080078125,0.3741915,0.5228428,11
5010,False,0.35505126953125,0.3746004,0.5228446,11
5010,False,0.366021728515625,0.3749447,0.5229316,11
5010,False,0.377989501953125,0.3753425,0.5231766,11
5010,False,0.38995751953125,0.3755464,0.5233246,11
5010,False,0.400928466796875,0.3757675,0.5235733,11
5010,False,0.411899169921875,0.3759056,0.5238302,11
5010,False,0.4238671875,0.3760621,0.5240045,11
5010,False,0.435834716796875,0.3761463,0.524008,11
5010,False,0.4468056640625,0.3761441,0.5240068,11
5010,False,0.4577763671875,0.3761261,0.5239867,11
5010,False,0.469744873046875,0.3760568,0.5239257,11
5010,False,0.48071533203125,0.3759613,0.5235997,11
5010,False,0.49268310546875,0.3759449,0.5234549,11
5010,False,0.5036533203125,0.3758898,0.5233279,11
5010,False,0.5146240234375,0.3758237,0.5233528,11
5010,False,0.5265927734375,0.3757074,0.5234982,11
5010,False,0.5375625,0.3756361,0.5239043,11
5010,False,0.548534423828125,0.3755011,0.5243521,11
5010,False,0.56050146484375,0.3753558,0.5248739,11
5010,False,0.571471923828125,0.375213,0.525342,11
5010,False,0.58244287109375,0.3750679,0.5256321,11
5010,False,0.59341357421875,0.374948,0.5257381,11
5010,False,0.604384033203125,0.3747998,0.5256286,11
5010,False,0.615354736328125,0.3746555,0.5255148,11
5010,False,0.626325439453125,0.3745061,0.5254331,11
5010,False,0.637296142578125,0.374287,0.5255297,11
5010,False,0.64926416015625,0.374086,0.525791,11
5010,False,0.660235107421875,0.3738172,0.5262555,11
5010,False,0.671205322265625,0.3735321,0.5267993,11
5010,False,0.68217626953125,0.3731519,0.5272703,11
5010,False,0.693147216796875,0.3728337,0.527772,11
5010,False,0.704117919921875,0.372501,0.5283641,11
5010,False,0.71508837890625,0.3721385,0.5291249,11
5010,False,0.727056884765625,0.3717883,0.5298906,11
5010,False,0.73802685546875,0.3714056,0.5307285,11
5010,False,0.748998046875,0.3710471,0.5315917,11
5010,False,0.759968505859375,0.3707402,0.5324084,11
5010,False,0.770939208984375,0.370371,0.5331563,11
5010,False,0.781909912109375,0.3700283,0.5336361,11
5010,False,0.7933896484375,0.369715,0.5340096,11
5010,False,0.804359619140625,0.369368,0.5342137,11
5010,False,0.815330322265625,0.3690149,0.5343736,11
5010,False,0.82630078125,0.36866,0.534542,11
5010,False,0.838268310546875,0.3683337,0.535003,11
5010,False,0.849239501953125,0.3679382,0.5354804,11
5010,False,0.860209716796875,0.3676163,0.5361388,11
5010,False,0.871180419921875,0.3671927,0.5368029,11
5010,False,0.88215185546875,0.3667439,0.537472,11
5010,False,0.8931220703125,0.3663127,0.5380558,11
5010,False,0.90509033203125,0.3658828,0.5386232,11
5010,False,0.916060791015625,0.3654699,0.5392063,11
5010,False,0.927031982421875,0.365012,0.5396211,11
5010,False,0.938001953125,0.3646075,0.5401135,11
5010,False,0.948972412109375,0.3641105,0.5405329,11
5010,False,0.959943115234375,0.3636354,0.540944,11
5010,False,0.9709140625,0.3630642,0.5411943,11
5010,False,0.981885009765625,0.3624581,0.5414285,11
5010,False,0.99285546875,0.3617346,0.5415953,11
5010,False,1.00382641601562,0.3609429,0.5417601,11
5010,False,1.0157939453125,0.3599133,0.541872,11
5010,False,1.02676489257813,0.3586268,0.5419596,11
5010,False,1.03773608398438,0.3572301,0.5420969,11
5010,False,1.0487060546875,0.3554233,0.542281,11
5010,False,1.05967724609375,0.3535398,0.5426554,11
5010,False,1.07064794921875,0.3512141,0.5431434,11
5010,False,1.08161791992187,0.3487363,0.5436747,11
5010,False,1.0935869140625,0.3461757,0.5443729,11
5010,False,1.10455712890625,0.3433514,0.5451531,11
5010,False,1.11552807617188,0.3405555,0.5460114,11
5010,False,1.12649926757812,0.3375194,0.5466661,11
5010,False,1.13746948242188,0.3344432,0.5471494,11
5010,False,1.14843969726563,0.3312007,0.5475736,11
5010,False,1.15941015625,0.32799,0.5478874,11
5010,False,1.170380859375,0.3246356,0.548277,11
5010,False,1.18234936523438,0.3211544,0.5487905,11
5010,False,1.19332006835938,0.3176612,0.549316,11
5010,False,1.20429028320313,0.3141071,0.5499442,11
5010,False,1.21526123046875,0.3106248,0.5506099,11
5010,False,1.22623193359375,0.3071618,0.551177,11
5010,False,1.23720288085937,0.3037824,0.551748,11
5010,False,1.24817358398438,0.3004499,0.5522942,11
5010,False,1.2601416015625,0.2971778,0.5528874,11
5010,False,1.27111181640625,0.2940127,0.5535585,11
5010,False,1.28208276367188,0.2909593,0.5542409,11
