video,stereo,t,u,v,id
5031,False,0.009973388671875,0.884086,0.5296919,11
5031,False,0.01994677734375,0.8841801,0.5300283,11
5031,False,0.031914306640625,0.8843032,0.5304571,11
5031,False,0.042885498046875,0.8843855,0.5309094,11
5031,False,0.05385595703125,0.8842998,0.5313448,11
5031,False,0.064826904296875,0.8842501,0.531995,11
5031,False,0.076794921875,0.8840591,0.5327193,11
5031,False,0.0867685546875,0.8839182,0.5332714,11
5031,False,0.098736083984375,0.8837458,0.5339376,11
5031,False,0.10970654296875,0.8835375,0.5346243,11
5031,False,0.120677490234375,0.8833365,0.53534,11
5031,False,0.131648193359375,0.8830721,0.5360578,11
5031,False,0.14261865234375,0.8828671,0.5368223,11
5031,False,0.153589599609375,0.8826724,0.5375033,11
5031,False,0.16655517578125,0.8824539,0.5380766,11
5031,False,0.176528076171875,0.882235,0.5386091,11
5031,False,0.18749853515625,0.8819645,0.539103,11
5031,False,0.198469482421875,0.8817328,0.5395132,11
5031,False,0.209440673828125,0.8815179,0.539977,11
5031,False,0.220412841796875,0.8812928,0.5403703,11
5031,False,0.231381591796875,0.8810518,0.5406774,11
5031,False,0.242352294921875,0.8808333,0.5409113,11
5031,False,0.254320068359375,0.8806258,0.5413046,11
5031,False,0.26529052734375,0.8803936,0.5416936,11
5031,False,0.27626171875,0.8802199,0.5419549,11
5031,False,0.288229736328125,0.8800565,0.5423058,11
5031,False,0.2992001953125,0.8799093,0.5426529,11
5031,False,0.31116845703125,0.8797589,0.542982,11
5031,False,0.322138916015625,0.8796216,0.5432295,11
5031,False,0.333109619140625,0.8794491,0.5433612,11
5031,False,0.345077392578125,0.8794204,0.5434045,11
5031,False,0.356047607421875,0.8794208,0.5434525,11
5031,False,0.3680166015625,0.8794429,0.5434265,11
5031,False,0.37898779296875,0.8795305,0.5433153,11
5031,False,0.389957763671875,0.8795775,0.5433437,11
5031,False,0.401925537109375,0.8796135,0.5432904,11
5031,False,0.415888671875,0.8796738,0.54324,11
5031,False,0.425861572265625,0.8797413,0.5432392,11
5031,False,0.4358349609375,0.8798266,0.5433269,11
5031,False,0.447802978515625,0.8798789,0.5435938,11
